name	Sigle	latitude	longitude	code
07330 Lichtentanne	sno195lic	50.5148915	11.4449456	1
07366 Blankenberg	sno372bla	50.4161554	11.5873432	2
07926 Gerbersreuth	sno374geb	50.4284558	11.8885719	3
07927 Ullersreuth	sno373ull	50.4263408	11.8068711	4
63741 Aschaffenburg	suf091abb	49.9754835	8.9888002	5
63755 Alzenau in Unterfranken	suf052alz	50.839081	8.9485793	6
63758 Rottenberg	suf073rob	50.395511	9.2149132	7
63762 Gro�ostheim	suf108gos	49.916689	9.532329	8
63776 M�mbris	suf053moe	50.667782	9.937053	9
63801 Kleinostheim	suf071klo	50.126352	8.9962178	10
63811 Stockstadt am Main	suf090sts	49.9725488	9.595077	11
63820 Elsenfeld	suf125els	49.8340576	9.1329698	12
63825 Schneppenbach	suf054sne	50.959219	9.213099	13
63846 Laufach	suf074lau	50.105339	9.2674759	14
63849 Leidersbach	suf110lei	49.8949215	9.2003145	15
63853 M�mlingen	suf124mom	49.8569455	9.409475	16
63856 Stra�bessenbach	suf092str	49.9620551	9.2347417	17
63857 Waldaschaff	suf093wal	49.9655373	9.2677515	18
63860 Rothenbuch	suf094rot	49.9716454	9.3491595	19
63863 Eschau	suf126eau	49.8336596	9.2309698	20
63867 Johannesberg	suf072joh	50.261929	9.99041	21
63871 Heinrichsthal	suf055hei	50.678954	9.2948885	22
63874 Wintersbach	suf127win	49.8619305	9.3037966	23
63879 Weibersbrunn	suf111wei	49.9120745	9.3297834	24
63897 Miltenberg		49.6905739	9.1766267	25
63911 Klingenberg am Main	suf140kli	49.7697537	9.1423185	26
63916 Amorbach		49.6378515	9.1270268	27
63916 Beuchen		49.5993314	9.2256683	28
63916 Boxbrunn im Odenwald		49.6640169	9.1066574	29
63924 R�denau		49.7184422	9.1488834	30
63928 Eichenb�hl		49.6874559	9.2902049	31
63930 Neunkirchen		49.7040461	9.3540385	32
63931 Kirchzell		49.6168351	9.746288	33
63933 M�nchberg	suf141mob	49.7901466	9.2294619	34
68384 Sulzbach am Main	suf109sam	49.9134918	9.1610997	35
80999 Allach	sob124ala	48.2070255	11.4579337	36
81241 Pasing/Obermenzing	sob150pas	48.1407693	11.4468869	37
81737 M�nchen-S�d	sob175msu	48.981898	11.6209179	38
81739 Perlach	sob176prl	48.891298	11.6434674	39
82024 Taufkirchen	sob200tki	48.291776	11.5907744	40
82054 Altkirchen/Gro�eichenhausen	sob222aki	47.9606458	11.5896947	41
82054 Sauerlach	sob223slc	47.9592822	11.5583987	42
82065 Baierbrunn/Sch�ftlarn	sob198bbs	48.96382	11.4496474	43
82140 Esting	sob122est	48.2022168	11.2990073	44
82194 Gr�benzell/Neuhimmelreich	sob123gro	48.192225	11.3559203	45
82205 Argelsried/Gilching	sob172arg	48.104376	11.301793	46
82211 Herrsching am Ammersee	sbs217hrg	48.19837	11.101103	47
82216 Germerswang	sob121gwg	48.2225224	11.215284	48
82237 Etterschlag	sob171ets	48.868487	11.1954684	49
82239 Biburg/Alling	sob148bib	48.1522438	11.2560474	50
82266 Inning am Ammersee	sbs203ing	48.715135	11.880758	51
82272 D�nzelbach/Steinbach	sbs172dun	48.1874865	11.490892	52
82278 Althegnenberg	sbs159ahg	48.2285623	11.426769	53
82284 Grafrath	sbs189grf	48.1226875	11.1327225	54
82287 Jesenwang	sbs173jes	48.1665123	11.1000311	55
82291 Mammendorf	sbs174mam	48.2062599	11.1232694	56
82294 Oberschweinbach	sbs160osw	48.2422448	11.1270719	57
82299 T�rkenfeld	sbs188tfd	48.109494	11.623631	58
82319 Hadorf/Oberbrunn	sob196had	48.156674	11.2806111	59
82327 Tutzing	sob242tuz	47.916066	11.1676729	60
82335 Farchach/Bachhausen	sob220fck	47.9629777	11.3789263	61
82343 P�cking	sob219poe	47.9736336	11.2464814	62
82346 Machtlfing/Erling	sob218mfe	47.9478253	11.2183067	63
82362 Weilheim (Obb)	sbs259wob	47.8428595	11.799433	64
82380 Pei�enberg	sbs258psb	47.7981425	11.38872	65
82383 Hohenpei�enberg	sbs257hpb	47.8022763	10.9699114	66
82386 Huglfing	sbs272hug	47.7614209	11.898783	67
82390 Eberfing	sob290ebf	47.7864538	11.1906459	68
82392 Habach	sob315hab	47.7296499	11.254665	69
82393 Iffeldorf	sob291ifd	47.7894678	11.291791	70
82396 P�hl	sbs232pah	47.9190693	11.1081668	71
82401 Rottenbuch/B�bing	sbs270rot	47.7288223	10.9403899	72
82402 Seeshaupt/Jenhausen/St	sob268see	47.822088	11.2009803	73
82405 Wessobrunn	sbs245wes	47.8612748	10.9498844	74
82407 Haunshofen/Monatshausen	sob241hhf	47.8739124	11.2157136	75
82409 Wildsteig	sob310wig	47.6688363	10.8766997	76
82418 Hechendorf	sob329hed	47.6617051	11.204274	77
82431 Kochel	sob331koh	47.6583478	11.3055053	78
82432 Walchensee	sob342wls	47.5910382	11.3029965	79
82435 Bayersoien	sob312bas	47.6833466	10.9912452	80
82438 Eschenlohe	sob341esl	47.5925619	11.1193917	81
82444 Schlehdorf	sob330sld	47.645579	11.2769885	82
82445 Grafenaschau	sob328gfa	47.6484095	11.1105501	83
82447 Spatzenhausen	sob314sph	47.7151464	11.1697984	84
82449 Sch�ffau	sbs271sof	47.7144252	11.708227	85
82467 Partenkirchen	sob349pak	47.4712778	10.9061022	86
82481 Mittenwald	sob350mtw	47.4636323	11.2190309	87
82490 Farchant	sob346frt	47.5323281	11.691894	88
82491 Grainau	sob348gau	47.4517677	10.9641735	89
82499 Wallgau	sob347wlg	47.5432296	11.2085497	91
82538 Schwabhausen/Geretshausen	sob166swh	48.1266719	10.8818707	92
82541 M�nsing	sob243mue	47.8633846	11.2325236	93
82544 Deining	sob221dei	47.952717	11.4886273	94
82547 Beuerberg/Eurasburg	sob269beu	47.8275733	11.4019566	95
83026 Pang/Aising	sob277pan	47.8241216	12.838143	96
83052 Ginsham	sob249gih	47.9059164	11.9115805	97
83059 Kolbermoor	sob276kol	47.8434927	12.80914	98
83075 Litzldorf	sob299ltz	47.7609987	12.459414	99
83080 Oberaudorf	sob335oad	47.6633548	12.410363	100
83083 Riedering	sob278rie	47.8428143	12.1955395	101
83093 Endorf in Oberbayern	sob253edf	47.9062325	12.2999252	102
83104 Biberg/Hohentann	sob226bbg	47.9593955	11.9511055	103
83104 Lampferding	sob227lpf	47.9608067	12.526378	104
83109 Tattenhausen	sob250tth	47.9228619	12.702646	105
83112 Wildenwart	sob279wiw	47.8268453	12.3079419	106
83115 Neubeuern	sob300nbr	47.7837478	12.1202544	107
83122 Samerberg	sob301sam	47.7549496	12.1331007	108
83123 Amerang	sob230ame	47.9978967	12.2662864	109
83125 Eggst�tt	sob254egg	47.9308292	12.358487	110
83126 Flintsbach	sob321fli	47.7119349	12.695985	111
83132 Pittenhart	sob231pit	47.9753472	12.3428985	112
83135 Marienberg	sob251mrb	47.9154843	12.1141909	113
83137 Schonstett	sob229sst	47.9896966	12.2129754	114
83139 S�chtenau	sob252soe	47.9203687	12.1621233	115
83224 Rottau	sob303rta	47.7937189	12.4082809	116
83224 Staudach-Egerndach	sob304std	47.785575	12.3894652	117
83229 Aschau	sob302asa	47.7435526	12.2414376	118
83229 Sachrang	sob322sah	47.6898699	12.257211	119
83236 �bersee	sob280ueb	47.8281192	12.436595	120
83242 Reit im Winkel	sob336rtw	47.6675048	12.4519237	121
83246 Oberw�ssen	sob324owo	47.7089449	12.4752755	122
